pl_name,hostname,pl_orbper
HD 16905 b,HD 16905,10256.0
HD 62364 b,HD 62364,5172.0
HD 89839 b,HD 89839,3448.0
HD 114783 c,HD 114783,4352.0
GJ 832 b,GJ 832,3853.0
HD 221420 b,HD 221420,10066.0
HIP 70849 b,HIP 70849,3649.0
HD 27894 b,HD 27894,18.01939
HD 27894 d,HD 27894,5019.54244
HD 29985 b,HD 29985,20608.14049
Kepler-293 b,Kepler-293,19.25405306
Kepler-549 d,Kepler-549,24.61482073
Kepler-395 b,Kepler-395,7.05427318
Kepler-172 d,Kepler-172,
Kepler-109 c,Kepler-109,21.2226460262
Kepler-549 b,Kepler-549,42.94957774
Kepler-1515 b,Kepler-1515,214.3114164
Kepler-359 c,Kepler-359,57.6895695163
Kepler-1834 b,Kepler-1834,4.602996
Kepler-1162 b,Kepler-1162,
Kepler-703 b,Kepler-703,4.5835184
Kepler-1471 b,Kepler-1471,3.63899398
Kepler-725 b,Kepler-725,39.6431552
Kepler-1644 b,Kepler-1644,21.0907758
Kepler-50 b,Kepler-50,7.8128584
Kepler-325 d,Kepler-325,38.7149617
Kepler-1296 b,Kepler-1296,8.38395796
Kepler-1371 b,Kepler-1371,3.4462125
K2-5 b,K2-5,5.7348462
KOI-1257 b,KOI-1257,86.647661
Kepler-82 e,Kepler-82,5.902209
Kepler-1369 b,Kepler-1369,25.87333
Kepler-697 b,Kepler-697,3.709870645
Kepler-1466 b,Kepler-1466,31.1750448
Kepler-634 b,Kepler-634,5.16950177
Kepler-1889 b,Kepler-1889,37.3037619
KOI-1257 b,KOI-1257,86.64763676
Kepler-1668 b,Kepler-1668,15.43400996
Kepler-46 d,Kepler-46,6.76652928
Kepler-1772 b,Kepler-1772,3.215106337
Kepler-511 c,Kepler-511,26.62946276
Kepler-684 b,Kepler-684,6.770302008
Kepler-127 b,Kepler-127,14.4360263586
Kepler-393 b,Kepler-393,9.182417
KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,
Kepler-586 b,Kepler-586,2.104721971
Kepler-202 b,Kepler-202,4.069425638
Kepler-42 b,Kepler-42,
Kepler-1499 b,Kepler-1499,
HD 63454 b,HD 63454,2.818049
Kepler-908 b,Kepler-908,1.340597468
Kepler-397 c,Kepler-397,135.4978256
Kepler-60 d,Kepler-60,11.8984932
61 Vir c,61 Vir,38.0957
Kepler-546 b,Kepler-546,4.147021189
Kepler-116 b,Kepler-116,5.968717469
Kepler-181 b,Kepler-181,3.137848829
Kepler-188 b,Kepler-188,2.06187
K2-230 b,K2-230,2.860636
Kepler-1077 b,Kepler-1077,34.3511874
Kepler-1800 b,Kepler-1800,4.56204856
Kepler-1005 b,Kepler-1005,6.49801525
Kepler-376 b,Kepler-376,4.9202752591
HD 331093 b,HD 331093,621.62
Kepler-1890 b,Kepler-1890,4.82052932
K2-139 b,K2-139,28.382071
HD 108874 c,HD 108874,1743.2
Kepler-1892 b,Kepler-1892,6.3312784
MOA-2012-BLG-505L b,MOA-2012-BLG-505L,
Kepler-305 b,Kepler-305,5.4871224247
Kepler-1586 b,Kepler-1586,15.6049212
Kepler-183 b,Kepler-183,5.6879831
Kepler-1037 b,Kepler-1037,1.0637892018
Kepler-132 b,Kepler-132,6.178165
Kepler-1722 b,Kepler-1722,9.178475
Kepler-209 b,Kepler-209,16.08786478
Kepler-690 b,Kepler-690,7.748094374
Kepler-280 c,Kepler-280,4.807099588
K2-21 c,K2-21,15.50116
Kepler-118 b,Kepler-118,7.51854537
Kepler-1809 b,Kepler-1809,3.757294695
Kepler-301 c,Kepler-301,5.41908491
Kepler-544 b,Kepler-544,21.41635034
Kepler-1458 b,Kepler-1458,47.9866946936
Kepler-107 e,Kepler-107,14.74913518
Kepler-1392 b,Kepler-1392,15.1413066
Kepler-1509 b,Kepler-1509,25.4338197
Kepler-568 b,Kepler-568,11.02347475
Kepler-99 b,Kepler-99,4.603578042
HD 202206 c,HD 202206,1260.0
Kepler-85 c,Kepler-85,12.513
Kepler-423 b,Kepler-423,2.68432852
TOI-1248 b,TOI-1248,4.3601561
HD 260655 c,HD 260655,5.7060868
TOI-4773 b,TOI-4773,1.7452851
Kepler-391 c,Kepler-391,20.4853893
Kepler-58 c,Kepler-58,15.574
Kepler-1898 b,Kepler-1898,4.765620232
Kepler-295 b,Kepler-295,12.64506533
Kepler-1272 b,Kepler-1272,51.1309704
Kepler-675 b,Kepler-675,2.33743801
Kepler-454 b,Kepler-454,10.573757029
K2-240 b,K2-240,6.034
Kepler-1536 b,Kepler-1536,364.758031
Kepler-952 b,Kepler-952,130.35464842
Kepler-1248 b,Kepler-1248,7.46718958
Kepler-121 b,Kepler-121,3.17741077
Kepler-1886 b,Kepler-1886,24.2758007
K2-343 c,K2-343,7.67689
HD 73267 b,HD 73267,1257.2
Kepler-887 b,Kepler-887,
Kepler-392 b,Kepler-392,5.341788
Kepler-799 b,Kepler-799,133.46084685
Kepler-132 b,Kepler-132,6.17817366
Kepler-1721 b,Kepler-1721,4.592393816
Kepler-1807 b,Kepler-1807,10.86060638
Kepler-524 c,Kepler-524,1.88897906
Kepler-1146 b,Kepler-1146,2.352265797
Kepler-1094 b,Kepler-1094,
Kepler-79 b,Kepler-79,13.48458665
Kepler-223 e,Kepler-223,19.7240891
Kepler-280 c,Kepler-280,4.807099588
Kepler-1218 b,Kepler-1218,22.9221266
Kepler-1630 b,Kepler-1630,509.997402
Kepler-438 b,Kepler-438,35.2331929005
Kepler-1828 b,Kepler-1828,10.27377201
Kepler-1347 b,Kepler-1347,14.00947528
Kepler-32 b,Kepler-32,5.901
Kepler-1133 b,Kepler-1133,11.5555991814
Kepler-209 c,Kepler-209,41.74945104
Kepler-1422 b,Kepler-1422,18.6039268674
K2-24 c,K2-24,42.3391
Kepler-1576 b,Kepler-1576,6.98471973
KOI-351 g,KOI-351,210.5935133
Kepler-55 e,Kepler-55,4.617534
Kepler-1748 b,Kepler-1748,5.823445
Kepler-229 c,Kepler-229,16.0686523891
Kepler-357 c,Kepler-357,
Kepler-745 b,Kepler-745,9.93143556
Kepler-32 d,Kepler-32,22.78076945
K2-331 c,K2-331,22.99592
Kepler-149 c,Kepler-149,55.3285813
K2-203 b,K2-203,9.6897
Kepler-60 d,Kepler-60,11.8984932
Kepler-248 c,Kepler-248,16.23947096
HIP 75092 b,HIP 75092,926.4
Kepler-1391 b,Kepler-1391,54.4101523709
Kepler-1438 b,Kepler-1438,2.319426
Kepler-1129 b,Kepler-1129,24.3398202
Kepler-105 c,Kepler-105,7.125967
Kepler-716 c,Kepler-716,3.96996298
Kepler-259 c,Kepler-259,36.9249531
Kepler-415 b,Kepler-415,4.17634525
Kepler-1470 b,Kepler-1470,16.2951259
Kepler-31 d,Kepler-31,87.6451
Kepler-109 c,Kepler-109,21.22265
Kepler-1825 b,Kepler-1825,1.025857703
Kepler-431 c,Kepler-431,8.70312154
TRAPPIST-1 e,TRAPPIST-1,6.101013
Kepler-534 c,Kepler-534,7.37862283
Kepler-147 b,Kepler-147,12.6119685
Kepler-562 b,Kepler-562,18.009314436
Kepler-607 c,Kepler-607,39.67679977
Kepler-351 b,Kepler-351,37.0548569
Kepler-1284 b,Kepler-1284,0.664073806
Kepler-1728 b,Kepler-1728,4.783002698
Kepler-11 e,Kepler-11,31.995525
Kepler-139 e,Kepler-139,1904.0
HIP 38594 c,HIP 38594,3477.768
Kepler-877 b,Kepler-877,18.45847097
K2-389 b,K2-389,8.583566
EPIC 220674823 b,EPIC 220674823,0.571282
eps Eri b,eps Eri,2502.1
Kepler-1099 b,Kepler-1099,2.16844614
Kepler-137 b,Kepler-137,8.43638723
Kepler-58 b,Kepler-58,10.21866016
Kepler-1491 b,Kepler-1491,16.5861762
Kepler-951 b,Kepler-951,
Kepler-400 b,Kepler-400,9.024391
Kepler-18 d,Kepler-18,14.859
Kepler-271 d,Kepler-271,5.24972541
Kepler-1913 b,Kepler-1913,14.1959621
Kepler-1335 b,Kepler-1335,6.26406846
TOI-5688 A b,TOI-5688 A,2.9479689
TOI-4734 b,TOI-4734,6.235633
Kepler-460 c,KIC 5437945,220.1303357
Kepler-263 b,Kepler-263,16.568087
Kepler-947 b,Kepler-947,26.9644682703
Kepler-121 c,Kepler-121,41.00820122
Kepler-1026 b,Kepler-1026,36.5156053
Kepler-594 b,Kepler-594,13.64618192
HD 190360 c,HD 190360,17.11704
Kepler-705 b,Kepler-705,56.05623
Kepler-1146 b,Kepler-1146,2.352273912
Kepler-361 b,Kepler-361,
XO-5 b,XO-5,4.18775631
HD 136352 b,HD 136352,11.577794
TOI-2095 c,TOI-2095,28.17225006579
TOI-1386 b,TOI-1386,25.8401
Kepler-223 d,Kepler-223,14.78767172
Kepler-371 b,Kepler-371,34.763278
Kepler-462 b,Kepler-462,84.69
Kepler-142 c,Kepler-142,4.7617051257
Kepler-1173 b,Kepler-1173,
Kepler-758 d,Kepler-758,20.4971697
Kepler-257 c,Kepler-257,6.581477136
Kepler-178 c,Kepler-178,20.55280311
Kepler-1870 b,Kepler-1870,3.60694592
Kepler-1569 b,Kepler-1569,5.79180156
Kepler-400 b,Kepler-400,9.02436094
Kepler-787 b,Kepler-787,0.928310498
Kepler-1136 b,Kepler-1136,2.361718
HD 154391 b,HD 154391,5163.0
Kepler-340 c,Kepler-340,22.824669
Kepler-1030 b,Kepler-1030,19.32952416
Kepler-1609 b,Kepler-1609,114.34219
Kepler-229 c,Kepler-229,16.068638
Kepler-33 c,Kepler-33,13.17562
Kepler-1266 b,Kepler-1266,28.474748
Kepler-1118 b,Kepler-1118,38.6715843
Kepler-1254 b,Kepler-1254,9.99113313
51 Peg b,51 Peg,4.2307969
Kepler-1771 b,Kepler-1771,88.6440015
Kepler-1820 b,Kepler-1820,31.032699
Kepler-1637 b,Kepler-1637,6.10960324
Kepler-1397 b,Kepler-1397,47.4497134
Kepler-1948 b,Kepler-1948,15.5714121
Kepler-879 b,Kepler-879,33.3855938
Kepler-815 b,Kepler-815,
Kepler-161 b,Kepler-161,4.9213639
Kepler-484 b,Kepler-484,10.0455669168
Kepler-1389 b,Kepler-1389,99.2530951
HD 92788 b,HD 92788,326.7
Kepler-130 d,Kepler-130,87.5174361
Kepler-1463 b,Kepler-1463,25.15864
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,
Kepler-1563 b,Kepler-1563,3.4327371
Kepler-778 b,Kepler-778,3.75574426
Kepler-377 b,Kepler-377,12.50948
Kepler-475 b,Kepler-475,3.105508189
HAT-P-37 b,HAT-P-37,2.79744256
K2-185 b,K2-185,10.616646
HATS-71 b,HATS-71,3.79551778381
Kepler-487 c,Kepler-487,38.6519976
Kepler-1032 b,Kepler-1032,3.290114076
Kepler-327 d,Kepler-327,13.9695295096
HD 75289 b,HD 75289,3.50927
Kepler-323 c,Kepler-323,3.553829671
Kepler-1352 b,Kepler-1352,1.877872
Kepler-515 b,Kepler-515,19.96371318
Kepler-357 c,Kepler-357,16.85837
Kepler-1178 b,Kepler-1178,31.80634
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,
Kepler-1795 b,Kepler-1795,13.3602644
Kepler-325 c,Kepler-325,12.76224947
Kepler-775 b,Kepler-775,0.974868926
EPIC 212424622 b,EPIC 212424622,18.0983
Kepler-341 c,Kepler-341,8.01041
Kepler-67 b,Kepler-67,15.72585941
K2-53 b,K2-53,12.2091165
Kepler-106 e,Kepler-106,43.8444958789
GJ 1061 d,GJ 1061,13.031
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,
BD-13 2130 b,BD-13 2130,714.29999
eps CrB b,eps CrB,417.9
Kepler-1202 b,Kepler-1202,28.6851324
Kepler-997 b,Kepler-997,2.7072805276
Kepler-84 e,Kepler-84,27.4345883
Kepler-29 c,Kepler-29,13.2884
Kepler-1407 b,Kepler-1407,20.0711504
Kepler-924 b,Kepler-924,61.0370400526
HAT-P-11 b,HAT-P-11,
K2-3 d,K2-3,44.5631
Kepler-449 c,Kepler-449,33.67280658
Kepler-1489 b,Kepler-1489,82.294751
Kepler-265 b,Kepler-265,6.84619236
Kepler-684 b,Kepler-684,
Kepler-1557 b,Kepler-1557,3.74031708
Kepler-370 c,Kepler-370,19.023152
Kepler-603 d,Kepler-603,6.2172092466
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,
Kepler-1342 b,Kepler-1342,2.215710358
Kepler-343 b,Kepler-343,8.96848108
Kepler-281 c,Kepler-281,36.33767
Kepler-393 b,Kepler-393,9.18247194
Kepler-84 b,Kepler-84,8.72585936
Kepler-394 d,Kepler-394,5.61357629
Kepler-32 d,Kepler-32,22.780782
Kepler-237 b,Kepler-237,4.71510365
Kepler-1608 b,Kepler-1608,16.473474
Kepler-52 d,Kepler-52,36.445171
Kepler-635 b,Kepler-635,23.44970494
Kepler-321 c,Kepler-321,13.093921
HD 185269 b,HD 185269,6.8399
Kepler-780 b,Kepler-780,0.677375164
HIP 41378 b,HIP 41378,15.57208
Kepler-1549 b,Kepler-1549,214.881456
Kepler-204 c,Kepler-204,25.6613816
Kepler-253 d,Kepler-253,18.11993039
Kepler-1164 b,Kepler-1164,3.97599768
Kepler-712 c,Kepler-712,
Kepler-666 b,Kepler-666,4.49876092
Kepler-256 e,Kepler-256,10.6816951
Kepler-161 b,Kepler-161,4.921354681
K2-205 b,K2-205,26.682
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,
K2-224 c,K2-224,10.09607
Kepler-260 b,Kepler-260,
KOI-351 g,KOI-351,210.6031105
Kepler-179 b,Kepler-179,2.735903375
KOI-351 c,KOI-351,8.71982853
Kepler-816 b,Kepler-816,10.506825646
Kepler-833 b,Kepler-833,
Kepler-1715 b,Kepler-1715,35.59713982
Kepler-79 e,Kepler-79,81.0632
Kepler-173 b,Kepler-173,4.26374378
GJ 328 b,GJ 328,3771.0
Kepler-24 d,Kepler-24,4.24437621
Kepler-885 b,Kepler-885,18.1147513494
Kepler-283 c,Kepler-283,
GJ 667 C f,GJ 667 C,39.026
CoRoT-5 b,CoRoT-5,4.03790124331
Kepler-37 d,Kepler-37,39.79220077
Kepler-117 b,Kepler-117,18.79590048
Kepler-256 b,Kepler-256,1.620467836
HD 18742 b,HD 18742,772.0
Kepler-1882 b,Kepler-1882,13.7872627
Kepler-1061 b,Kepler-1061,2.7580048478
GJ 876 c,GJ 876,30.455
K2-197 b,K2-197,8.35470947
Kepler-432 b,Kepler-432,52.50101454
Kepler-229 b,Kepler-229,6.252964898
Kepler-1256 b,Kepler-1256,12.4128518
Kepler-910 b,Kepler-910,2.364369015
K2-391 b,K2-391,4.622654
Kepler-1001 b,Kepler-1001,14.30517579
Kepler-438 b,Kepler-438,35.2330694
Kepler-330 c,Kepler-330,15.95545002
Kepler-750 b,Kepler-750,9.428872
Kepler-668 b,Kepler-668,8.35389523
Kepler-903 c,Kepler-903,62.9224936
Kepler-1880 b,Kepler-1880,6.30922043
Kepler-290 b,Kepler-290,14.58936813
Kepler-1085 c,Kepler-1085,56.7769831
Kepler-143 c,Kepler-143,27.08247084
Kepler-212 c,Kepler-212,31.80474045
Kepler-294 b,Kepler-294,3.70120482
Kepler-989 b,Kepler-989,7.964315352
Kepler-377 c,Kepler-377,27.0146112512
Kepler-345 b,Kepler-345,7.42
Kepler-198 d,Kepler-198,1.31184443
Kepler-296 e,Kepler-296,34.14189
Kepler-1249 b,Kepler-1249,24.3344585901
Kepler-1729 b,Kepler-1729,4.22096735
Kepler-378 c,Kepler-378,28.9059687
Kepler-871 b,Kepler-871,22.0459018
Kepler-1424 b,Kepler-1424,29.60913
Kepler-119 b,Kepler-119,
Kepler-107 b,Kepler-107,3.180024635
G 192-15 b,G 192-15,2.27476
Kepler-131 b,Kepler-131,16.0919805799
Kepler-149 c,Kepler-149,
Kepler-148 c,Kepler-148,4.180049552
K2-368 d,K2-368,20.201085
HD 125612 d,HD 125612,2835.0
Kepler-219 d,Kepler-219,47.9038809268
Kepler-278 c,Kepler-278,51.075756
Kepler-1068 b,Kepler-1068,16.92342126
Kepler-988 b,Kepler-988,17.76076524
CoRoT-23 b,CoRoT-23,3.6313
Kepler-647 c,Kepler-647,29.66631669
Kepler-327 d,Kepler-327,13.969457
Kepler-733 b,Kepler-733,20.83424726
Kepler-161 b,Kepler-161,4.9213639
Kepler-1540 b,Kepler-1540,125.4131177
Kepler-184 d,Kepler-184,
Kepler-407 b,Kepler-407,0.66930998
Kepler-197 c,Kepler-197,10.35
Kepler-769 b,Kepler-769,7.42608998
Kepler-191 c,Kepler-191,17.73852054
Kepler-1487 c,Kepler-1487,35.79949951
Kepler-1748 b,Kepler-1748,5.82348911
Kepler-325 c,Kepler-325,
Kepler-474 b,Kepler-474,5.660672935
Kepler-730 b,Kepler-730,6.49168251
Kepler-473 b,Kepler-473,14.5573218979
Kepler-226 d,Kepler-226,8.10904807
Kepler-740 b,Kepler-740,3.5840953659
GJ 317 b,GJ 317,695.36
Kepler-947 b,Kepler-947,26.9644317
Kepler-174 c,Kepler-174,44.0004287
Kepler-913 b,Kepler-913,10.29672521
Kepler-957 b,Kepler-957,
Kepler-1035 b,Kepler-1035,2.714077555
HD 62549 b,HD 62549,14306.88519
Kepler-1091 b,Kepler-1091,1.434741564
MOA-2007-BLG-192L b,MOA-2007-BLG-192L,
K2-104 b,K2-104,1.9741954
Kepler-235 b,Kepler-235,3.34022436
EPIC 220554210 c,K2-282,0.70531
Kepler-387 c,Kepler-387,11.8376933
Kepler-1092 b,Kepler-1092,58.6017925
Kepler-676 b,Kepler-676,11.5982103
Kepler-33 f,Kepler-33,41.02902
Kepler-820 b,Kepler-820,127.833994027
Kepler-1619 b,Kepler-1619,23.6220952702
Kepler-215 d,Kepler-215,30.86437869
Kepler-1263 b,Kepler-1263,4.55139967
Kepler-100 c,Kepler-100,12.81587113
Kepler-354 c,Kepler-354,16.9348104
Kepler-1556 b,Kepler-1556,8.82713457
Kepler-309 c,Kepler-309,105.356468511
Kepler-1192 b,Kepler-1192,25.2034787
HD 108874 b,HD 108874,397.5
Kepler-795 b,Kepler-795,29.6193421
Kepler-74 b,Kepler-74,7.340718
Kepler-1461 b,Kepler-1461,29.3494775
K2-208 b,K2-208,4.190948
Kepler-1641 b,Kepler-1641,19.672266
Kepler-260 b,Kepler-260,8.18740532
Kepler-1502 b,Kepler-1502,41.7083629
Kepler-446 d,Kepler-446,
Kepler-137 b,Kepler-137,
Kepler-313 b,Kepler-313,14.97031664
Kepler-1432 b,Kepler-1432,23.9107056
Kepler-638 b,Kepler-638,6.07969618
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,
Kepler-330 b,Kepler-330,8.25980352
Kepler-42 d,Kepler-42,
Kepler-288 b,Kepler-288,
iot Dra c,iot Dra,25000.0
Kepler-1497 b,Kepler-1497,8.74199772
Kepler-202 c,Kepler-202,16.28247625
NN Ser d,NN Ser,2883.5
HD 72659 b,HD 72659,3630.0
Kepler-391 b,Kepler-391,7.4175
Kepler-1001 c,Kepler-1001,9.18186
Kepler-188 b,Kepler-188,2.06190864
Kepler-338 b,Kepler-338,13.726976
Kepler-205 c,Kepler-205,20.30652862
K2-104 b,K2-104,1.974202
Kepler-520 c,Kepler-520,5.21104261
Kepler-446 c,Kepler-446,3.036179
Kepler-248 c,Kepler-248,16.23946714
Kepler-1924 b,Kepler-1924,15.3317018
Kepler-270 c,Kepler-270,25.2629
Kepler-1841 b,Kepler-1841,25.88648226
HD 120084 b,HD 120084,2084.0
Kepler-1154 b,Kepler-1154,5.1856142
HD 184010 c,HD 184010,484.3
K2-269 b,K2-269,4.144937
Kepler-913 b,Kepler-913,10.29672521
Kepler-1154 c,Kepler-1154,8.45808312
HD 45364 b,HD 45364,225.79
GJ 163 d,GJ 163,603.95116
Kepler-1323 b,Kepler-1323,0.92990603
Kepler-122 b,Kepler-122,5.766148
Kepler-1294 b,Kepler-1294,115.6862258
Kepler-1157 b,Kepler-1157,4.4574238959
Kepler-228 d,Kepler-228,11.09433661
Kepler-1137 b,Kepler-1137,23.92113
Kepler-736 b,Kepler-736,3.60147889
Kepler-153 b,Kepler-153,18.87021566
Kepler-245 b,Kepler-245,7.4901706893
Kepler-222 d,Kepler-222,28.08194365
Kepler-1109 b,Kepler-1109,37.6468519
Kepler-565 b,Kepler-565,4.2437395012
Kepler-443 b,Kepler-443,177.668663
Kepler-361 c,Kepler-361,55.18815
Kepler-188 b,Kepler-188,2.06190864
Kepler-1437 b,Kepler-1437,10.9295461
Kepler-159 b,Kepler-159,10.13961841
Kepler-347 c,Kepler-347,27.320871
Kepler-379 c,Kepler-379,62.7847
Kepler-342 e,Kepler-342,1.644221032
Kepler-618 b,Kepler-618,3.595736
Kepler-1267 b,Kepler-1267,
Kepler-1238 b,Kepler-1238,4.14789051
Kepler-832 b,Kepler-832,7.13968
VHS J125601.92-125723.9 b,VHS J125601.92-125723.9,
HD 81817 b,HD 81817,1021.20159
Kepler-79 c,Kepler-79,27.402299
Pr0201 b,Pr0201,4.4264
Kepler-730 b,Kepler-730,6.491684259
Kepler-981 b,Kepler-981,
Kepler-1579 b,Kepler-1579,0.849906734
Kepler-355 c,Kepler-355,25.76313
Kepler-298 b,Kepler-298,10.47548192
Kepler-272 c,Kepler-272,6.05730524
Kepler-634 b,Kepler-634,
Kepler-215 c,Kepler-215,14.667
Kepler-337 c,Kepler-337,9.69311847
Kepler-1179 b,Kepler-1179,2.685057492
CoRoT-28 b,CoRoT-28,5.20851
