PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id,frame_hash
638555,00 00 24.8,-36 17 30,G,0,0.57,0.25,113.0,0,1049772491320523363,9028531404750157920
1052459,00 00 24.8,-04 51 48,G,0,0.71,0.38,137.0,NPM1G-05.0713,6164775644674060578,3625127109176602711
517088,00 00 24.8,-46 15 34,G,0,0.39,0.22,32.0,0,5729774829995832833,1228704480368593996
1815271,00 00 24.9,+27 41 19,G,0,0.42,0.11,180.0,0,5539439631778182942,5939522134326575865
3092892,00 00 24.9,-05 04 53,G,0,0.0,0.0,0.0,NPM1G-05.0714,2045202533844506547,8192049712729811211
718823,00 00 24.9,-30 18 19,G,0,0.41,0.06,83.0,0,-4884562529150572701,-5999599051249280970
129156,00 00 25.0,-47 21 54,M,0,0.88,0.23,158.0,0,2796479361659385630,7181284354190693297
540577,00 00 25.0,-44 07 43,G,0,0.48,0.17,84.0,0,4885229777156269719,-2488751425716864654
133641,00 00 25.0,-26 02 39,G,Sc,0.96,0.68,151.0,0,-784676216671076237,-3104714838284398782
584590,00 00 25.1,-40 35 51,G,0,0.39,0.14,84.0,0,6065572832976251513,-809487865181265927
1716998,00 00 25.2,+24 48 30,G,0,0.48,0.09,144.0,0,-6305475355830847293,-8861707602973417236
507382,00 00 25.2,-47 02 27,G,0,0.4,0.23,123.0,0,4596783544251700785,6377128299573223657
39,00 00 25.2,+07 51 17,G,SBab,0.96,0.1,153.0,UGC12892              MCG1-01-007           CGCG408-6,8381864261446128335,7798861006121454636
1983820,00 00 25.2,+32 10 15,G,0,0.54,0.26,40.0,0,5867455533137309682,2765390488597963028
539939,00 00 25.2,-44 11 15,G,0,0.36,0.05,150.0,0,-4029631819401702228,-4637951379359123876
472989,00 00 25.3,-49 48 28,G,0,0.42,0.16,87.0,0,-4605321394368442474,-2302119473447146320
781649,00 00 25.4,-25 11 41,G,0,0.5,0.03,0.0,0,-3069901955417233062,-3871022407424285437
1087581,00 00 25.5,-02 35 57,G,0,0.52,0.49,52.0,0,2824593055149544487,6454460355585015313
450694,00 00 25.6,-51 56 54,G,0,0.4,0.2,77.0,0,7696407063395725548,-7216667209226441234
753984,00 00 25.6,-27 30 15,G,0,0.69,0.05,2.0,0,-4171081842028535230,172405278890473318
654123,00 00 25.8,-35 02 19,G,0,0.6,0.16,142.0,0,4460921454827455057,-1500116345959927775
475237,00 00 25.9,-49 35 34,G,0,0.54,0.15,72.0,0,-9128189560821325903,-4561382470753907308
753193,00 00 25.9,-27 33 23,G,0,0.39,0.17,78.0,0,5471350348829810760,-4004665952234539485
41,00 00 26.0,-05 46 39,GM,0,0.46,0.14,107.0,(VIIIZw495),-3493076381611021888,-4476161121436276701
2277671,00 00 26.1,+46 13 57,G,0,0.46,0.15,17.0,0,3750544072242415117,8510994947344736878
732861,00 00 26.1,-29 08 25,G,0,0.39,0.11,96.0,0,-5263847594945570574,7957709294060099728
662640,00 00 26.1,-34 24 55,G,0,0.47,0.22,87.0,0,-4650858830000263897,4237872524814488088
1679034,00 00 26.1,+22 57 42,G,0,0.37,0.16,158.0,0,-705396773375764630,1290196697075211795
34,00 00 26.1,-49 04 31,GM,SO-a,0.7,0.1,125.0,(ESO193-7)            ESO-LV1930071,8817521744883953909,-6604566067213311536
2429781,00 00 26.1,+53 01 20,G,0,0.35,0.06,101.0,0,-4083451953360325216,3124811008104951402
1019177,00 00 26.1,-07 25 41,G,0,0.61,0.52,135.0,0,7690918603098809532,2430202524562186997
501613,00 00 26.1,-47 25 22,G,0,0.47,0.25,1.0,0,-5951998248516020054,7584167195100554061
281298,00 00 26.1,-69 06 31,G,0,0.4,0.12,94.0,0,2278523094450152487,3023269284343741468
793749,00 00 26.2,-24 05 14,G,0,0.88,0.68,108.0,0,-6605564978766745743,-1689247030100546786
469975,00 00 26.2,-50 05 35,G,0,0.52,0.03,0.0,0,-8775667386702428807,5308894059135524970
1659547,00 00 26.3,+21 54 08,G,0,0.58,0.24,165.0,0,3992906656602250705,8809389187504347470
1088342,00 00 26.3,-02 34 20,G,0,0.63,0.14,114.0,0,3380707905080906694,1357657500088300156
1170206,00 00 26.4,+00 35 50,G,0,0.43,0.21,6.0,0,5617120682993974876,5082430681649997374
771163,00 00 26.4,-26 08 03,G,0,0.4,0.2,85.0,0,-3386808314738419632,-3785158254300267940
622817,00 00 26.5,-37 27 36,G,0,0.39,0.16,30.0,0,8455475631082165628,6937256557643241422
717730,00 00 26.5,-30 23 55,G,0,0.45,0.14,7.0,0,4983842214340087627,1405446564324017185
781825,00 00 26.5,-25 10 43,G,0,0.45,0.13,76.0,0,-7413314592054992989,-4479996227028169879
761737,00 00 26.5,-26 57 21,G,0,0.37,0.15,29.0,0,7946345748931627998,-4585750332955876805
124870,00 00 26.6,-39 27 30,G,0,0.53,0.08,105.0,LCRSB235752.7-394413,2766004903657957114,1925387851202994522
687937,00 00 26.7,-32 40 33,G,0,0.33,0.05,1.0,0,-3031942195191491143,6565005560361551942
33,00 00 26.7,-18 50 31,G,SBab,0.86,0.16,37.0,NGC7807               ESO538-15             ESO-LV5380150,9046139686359880266,1273256797859384254
42,00 00 26.9,-42 32 51,G,0,0.64,0.22,63.0,FAIRALL1062,-6122576018720017677,-8054701300747177370
2246052,00 00 26.9,+44 31 12,G,0,0.35,0.14,131.0,0,8221620039027142389,-302694346328464631
341415,00 00 26.9,-62 40 17,G,0,0.61,0.37,108.0,0,24606548419579706,-2058233264181226067
772348,00 00 27.1,-26 01 50,G,0,0.55,0.45,103.0,0,1744132288056700473,5986668941705853955
891662,00 00 27.1,-16 54 58,G,0,0.52,0.29,81.0,0,-6594145863413901116,5779013014425099854
1736324,00 00 27.2,+25 25 58,G,0,0.39,0.07,99.0,0,-632063891843929004,-5911337389146976898
570621,00 00 27.2,-41 54 19,G,0,0.45,0.15,86.0,0,-5614062769283714760,7719233770535196930
756439,00 00 27.3,-27 20 26,G,0,0.44,0.24,160.0,0,-5967157039260695288,8033222352234090621
1342051,00 00 27.3,+08 13 16,G,0,0.67,0.11,151.0,0,2960500185445692461,-5563806644680950265
1012827,00 00 27.3,-07 48 08,G,0,0.63,0.08,113.0,0,-4244052362389088477,6631618913975218263
2105815,00 00 27.4,+37 38 34,G,0,0.54,0.43,30.0,0,-6198818660128453539,-6371631115267146138
728966,00 00 27.4,-29 28 17,G,0,0.48,0.14,48.0,0,4267295962102715790,-8401747002463450417
2147253,00 00 27.5,+39 17 56,G,0,0.48,0.11,170.0,0,8000026614262273988,7182844486196763837
26,00 00 27.5,-07 52 56,G,0,1.0,0.1,0.0,MCG-1-01-019,-429810014321448589,-5101324260671689864
128383,00 00 27.6,-53 20 09,G,Sc,0.71,0.16,139.0,0,-3057146362265133618,-839130778824187852
1987409,00 00 27.7,+32 14 20,G,0,0.41,0.1,134.0,0,-1437451284374286265,-8307869604681200132
126711,00 00 27.7,-38 03 46,G,0,0.54,0.44,123.0,LCRSB235754.0-382030,2985881205121341986,5058847094825729467
2796249,00 00 27.7,+59 50 42,G,0,0.21,0.1,0.0,ZOAG116.57-2.39,-3875689931663847439,-4147903248866632914
944275,00 00 27.8,-13 00 57,G,0,0.56,0.46,166.0,0,-8176636340738533090,-8010001357077505121
170467,00 00 27.8,-66 55 14,G,0,0.62,0.05,122.0,0,6965705328141960613,-3307175556750105710
582461,00 00 27.8,-40 47 16,G,0,0.44,0.34,122.0,0,-4867421602305429804,8683279614007049999
2794829,00 00 27.8,-39 57 20,G,0,0.0,0.0,0.0,0,3579980286307441518,-511913671250805462
719614,00 00 27.8,-30 14 45,G,0,0.48,0.14,79.0,0,-7869684621123071218,-6507912711239757192
1726830,00 00 27.8,+25 08 39,G,0,0.42,0.21,11.0,0,223455444510477695,1111472107060652986
973639,00 00 27.8,-10 47 51,G,0,0.54,0.47,89.0,0,7127658307815906001,4566787466273251219
811409,00 00 27.9,-22 37 04,G,0,0.43,0.28,139.0,0,-7691133145023821232,-6717042544430692479
424176,00 00 27.9,-53 58 32,G,0,0.44,0.14,133.0,0,697764043707994372,446900511289357741
38,00 00 28.1,+17 13 10,G,Sd,1.12,0.05,0.0,UGC12893              MCG3-01-011           CGCG456-14,5192686273381674896,-3989509840518965108
956793,00 00 28.2,-12 09 55,G,0,0.42,0.04,0.0,0,1810048209646905944,4328631245824985084
594134,00 00 28.3,-39 46 59,G,0,0.47,0.09,76.0,0,1493312303877584748,-3802682837162933146
923212,00 00 28.4,-14 32 52,G,0,0.47,0.14,114.0,0,2743095042149241581,-2107871131768433560
2011081,00 00 28.5,+32 45 28,G,0,0.56,0.35,111.0,0,-7654847968033486322,124624032628665845
923465,00 00 28.8,-14 31 39,G,0,0.73,0.06,64.0,NPM1G-14.0711,1104523940792270877,56601513541238274
129170,00 00 28.8,-49 24 33,M,0,0.64,0.22,112.0,0,6057019623603200771,239435085406151149
832026,00 00 28.8,-21 09 05,G,0,0.62,0.56,53.0,0,-8236306203631291986,-3218440577518289690
1110957,00 00 28.8,-01 45 18,G,0,0.49,0.13,93.0,0,-2281951787903391319,-6184668450233622696
733315,00 00 28.9,-29 06 19,G,0,0.32,0.06,61.0,0,-8965577032749785927,3384927729967075093
738481,00 00 29.0,-28 42 11,G,0,0.48,0.34,121.0,0,3873524085537944342,2991819856433415970
36,00 00 29.0,+32 46 56,M,0,0.83,0.11,152.0,IC5373                !MCG5-01-019          CGCG499-31            CGCG498-59            KAZ235                IRAS23579+3230,6618050200310857620,-3344984437277406345
2299318,00 00 29.0,+47 30 00,G,0,0.54,0.38,42.0,0,3344871149088854506,-3802470894046695483
896003,00 00 29.0,-16 36 20,G,0,0.53,0.06,65.0,0,2245820863716001596,-7716444792553588137
738869,00 00 29.1,-28 40 27,G,0,0.35,0.07,150.0,0,-1497516986299321381,-2162024590005820891
544701,00 00 29.1,-43 46 56,G,0,0.44,0.2,163.0,0,-2597217494029810440,-7825514558359207302
655614,00 00 29.1,-34 55 48,G,0,0.37,0.14,126.0,0,7305618203925983631,-5697276103310224419
408866,00 00 29.1,-55 29 24,G,0,0.55,0.37,141.0,0,6609745354454382875,4933353249243339212
1987723,00 00 29.1,+32 14 42,G,0,0.38,0.05,0.0,0,-8448268918683802950,320110225407439822
89491,00 00 29.2,-60 40 50,G,0,0.0,0.0,0.0,0,1439434854028334499,1094265660520985569
143136,00 00 29.3,-28 11 38,G,0,0.6,0.05,38.0,0,-25407416138064222,-5582320180736991646
43,00 00 29.4,-40 29 03,G,SBbc,1.34,0.61,151.0,ESO293-27             MCG-7-01-005          ESO-LV2930270,-1413971977146260177,5877320330785535743
135592,00 00 29.4,-27 23 24,G,0,0.65,0.09,30.0,0,-4984582768725739715,4337592495195295243
915108,00 00 29.4,-15 08 42,G,0,0.63,0.48,21.0,0,-2146090853858115924,8867912196172047864
713734,00 00 29.4,-30 43 24,G,0,0.38,0.08,42.0,0,8127575701124842202,-883570027675782694
633749,00 00 29.5,-36 41 41,G,0,0.63,0.46,154.0,0,-5954621180044975888,206780743917471984
948729,00 00 29.5,-12 42 42,G,0,0.56,0.34,142.0,0,4549679830520296102,5920083741733714906
46,00 00 29.5,-05 46 35,GM,0,0.5,0.11,144.0,(VIIIZw495),-8642321655429185463,-278835590859631266
701736,00 00 29.6,-31 44 02,G,0,0.31,0.05,37.0,0,-4869031645691465337,8215592591790170017
1960392,00 00 29.6,+31 42 37,G,0,0.45,0.07,95.0,0,-2250465916018030730,-611166381334067741
462901,00 00 29.6,-50 47 45,G,0,0.46,0.27,0.0,0,-1246730987224742560,-7654602148074598672
1891860,00 00 29.7,+30 08 30,G,0,0.44,0.19,169.0,0,5595173502047866129,-6347830025492642861
515807,00 00 29.7,-46 22 22,G,0,0.39,0.12,68.0,0,-2877753421721944721,5925684113467654912
1915011,00 00 29.7,+30 42 59,G,0,0.43,0.12,38.0,0,-7513032259213053482,2902274904072998942
772840,00 00 29.7,-25 59 25,G,0,0.47,0.14,167.0,0,-2585704426571796523,7645221181659320032
1808955,00 00 29.8,+27 27 51,G,0,0.37,0.12,22.0,0,-3637770593255953413,-2690061524460485375
410388,00 00 29.9,-55 20 06,G,0,0.67,0.56,48.0,0,2699928096715803287,2611378824908985940
1106575,00 00 29.9,-01 54 53,G,0,0.5,0.31,130.0,0,8900099445804749306,-7838655744115086957
967318,00 00 29.9,-11 18 42,G,0,0.68,0.68,138.0,0,-6577541541006628783,4875696873965999508
975683,00 00 30.0,-10 38 25,G,0,0.54,0.34,73.0,0,-5763742066651414714,-6787073968692732026
1056210,00 00 30.0,-04 35 05,G,0,0.46,0.39,26.0,0,3262155263782309772,610711922303399331
131847,00 00 30.1,-36 41 50,G,Sc,0.88,0.45,147.0,0,1246914206829246339,9207452712496368957
966785,00 00 30.1,-11 21 20,G,0,0.63,0.13,14.0,0,-1314227942113779889,-6171245319846825662
761208,00 00 30.1,-26 59 37,G,0,0.55,0.19,144.0,0,-8976598387612660351,1977400835188585498
364341,00 00 30.2,-60 19 13,G,0,0.4,0.09,84.0,0,-364215044578344817,-1455137838279879048
1064765,00 00 30.2,-03 57 32,G,0,0.55,0.13,26.0,0,9003934389239189963,7792845611989866783
608003,00 00 30.3,-38 31 46,G,0,0.5,0.17,52.0,0,-326486218783620474,6696654589020190207
469168,00 00 30.4,-50 10 27,G,0,0.44,0.19,54.0,0,2590876633503671315,851236667186532046
366975,00 00 30.4,-59 59 38,G,0,0.59,0.23,40.0,0,5966196795138793547,126846666077395585
524541,00 00 30.5,-45 38 23,G,0,0.35,0.11,40.0,0,-1237061123201729248,8546740882005941727
2055453,00 00 30.6,+34 50 41,G,0,0.63,0.24,30.0,0,-8980361942146288412,-6235085801694060371
775016,00 00 30.7,-25 47 30,G,0,0.36,0.1,145.0,0,-5373649503480812812,4273130773224909174
45,00 00 30.7,-50 09 16,GM,0,1.01,0.32,23.0,(ESO193-8)            ESO-LV1930080         FAIRALL1063,5386350403062316008,-2071889060733157426
301464,00 00 30.8,-66 50 30,G,0,0.38,0.14,129.0,0,-8220874982088312068,6925083782831600551
821297,00 00 30.8,-21 57 21,G,0,0.42,0.3,106.0,0,-911834395417070483,-1524962887924005286
1020140,00 00 30.8,-07 22 12,G,0,0.51,0.08,76.0,0,-4700397218734449789,-6542726150079920062
476123,00 00 30.9,-49 30 35,G,0,0.52,0.33,96.0,0,-8331137328427021485,2649974865236715732
1124115,00 00 30.9,-01 12 47,G,0,0.64,0.22,127.0,0,-8903410633307631667,-3254055391662564754
387980,00 00 30.9,-57 36 12,G,0,0.45,0.13,143.0,0,3964291005738486223,-2561720380583587204
892822,00 00 31.0,-16 50 12,G,0,0.44,0.1,161.0,0,-6864919183371765911,-7281541013863574487
127775,00 00 31.2,-61 38 40,G,Sc,0.66,0.14,22.0,0,4367976903559451478,-4058686928819318945
316716,00 00 31.3,-65 03 12,G,0,0.57,0.17,122.0,0,3224059235295921035,-3365726955358162565
353660,00 00 31.4,-61 38 28,G,0,0.69,0.62,148.0,0,-8071596319398563805,2738920267128683179
990702,00 00 31.4,-09 27 56,G,0,0.49,0.01,0.0,0,6457683215817969129,5967883435676285475
416996,00 00 31.4,-54 40 53,G,0,0.57,0.52,107.0,0,7669916831075274591,6135454938685126385
837763,00 00 31.4,-20 43 42,G,0,0.31,0.03,0.0,0,-1571771593620471259,4869600539701845219
1088503,00 00 31.5,-02 33 54,G,0,0.38,0.19,4.0,0,-1139626097708517799,-1860376682666546693
47,00 00 31.5,+26 19 32,G,Sbc,0.85,0.06,146.0,UGC12896              MCG4-01-008           CGCG477-38            CGCG478-10            KUG2357+260           MRK1137               IRAS23579+2602,8366497543442458911,-6176773568373496649
369957,00 00 31.5,-59 37 40,G,0,0.49,0.11,119.0,0,-495802215156584252,-5154993585750023015
132704,00 00 31.6,-28 29 15,G,E,0.79,0.05,131.0,0,7052162672122815550,-542030520512135301
1432437,00 00 31.6,+13 29 40,G,0,0.37,0.16,148.0,0,1897381362024394065,5996424525761783861
571767,00 00 31.6,-41 48 37,G,0,0.35,0.15,1.0,0,8482993742059366589,1185589460971331167
37,00 00 31.6,+26 18 18,M,0,0.75,0.15,148.0,MCG4-01-009           NPM1G+26.0557,-7103019793011323355,2841332302966817580
366789,00 00 31.7,-60 00 57,G,0,0.34,0.07,103.0,0,-7152897819738383432,999891485358461587
215126,00 00 31.7,-89 01 55,G,0,0.95,0.63,52.0,0,-1430711078097439578,3936908010625523960
336870,00 00 31.7,-63 00 57,G,0,0.53,0.33,130.0,0,-5078548848246932208,1085660928979376125
1812131,00 00 31.8,+27 34 32,G,0,0.33,0.06,31.0,0,3188556629876822678,-5678623840147179757
2062658,00 00 31.9,+35 18 58,G,0,0.42,0.13,118.0,0,8608751763816122305,3484316214720310276
2238933,00 00 32.0,+44 11 56,G,0,0.61,0.11,151.0,0,-803300164015940185,-7038679046598817107
1269790,00 00 32.1,+04 33 04,G,0,0.63,0.08,120.0,0,2482244823958293629,-5102030736195090460
1282251,00 00 32.1,+05 21 44,G,0,0.69,0.26,163.0,NPM1G+05.0645,-1045193701920783241,1479092191091646614
1984276,00 00 32.2,+32 10 46,G,0,0.62,0.24,14.0,0,5319773895854057277,6266009990840807030
143139,00 00 32.3,-59 41 01,G,0,0.61,0.35,13.0,0,-4252536719694745834,7202321913405835476
1345610,00 00 32.4,+08 22 38,G,0,0.57,0.12,133.0,0,3580449579304234124,5424474339569205845
2030541,00 00 32.4,+33 22 17,G,0,0.66,0.09,140.0,0,1814392856150209738,-8932256156728853662
469610,00 00 32.4,-50 07 43,G,0,0.69,0.51,124.0,0,-3440375744068413701,-1313061720911010369
44,00 00 32.5,-50 08 53,G,E-SO,0.96,0.35,6.0,ESO-LV1930081         FAIRALL1064,-8029780699722139688,728448288234171507
124796,00 00 32.5,-38 42 13,G,0,0.0,0.0,0.0,LCRSB235758.5-385855,-8815539053422723261,575743503559270692
503301,00 00 32.5,-47 19 05,G,0,0.31,0.03,0.0,0,-3495513342670328711,6154459311809250399
1624717,00 00 32.5,+20 21 06,G,0,0.48,0.15,41.0,0,1757370421870573813,-8225560243470440888
1346591,00 00 32.6,+08 25 39,G,0,0.51,0.1,29.0,0,-3364730735934466405,-1908047916842475833
107662,00 00 32.7,-38 16 16,G,0,0.55,0.39,162.0,LCRSB235758.9-383259,-3701677528350435250,-5014039585678432282
543698,00 00 32.7,-43 51 34,G,0,0.42,0.1,176.0,0,4427637098889629223,-2890986113044751214
755173,00 00 32.7,-27 25 17,G,0,0.51,0.42,132.0,0,-4527990338714119454,722195914279170196
588812,00 00 32.8,-40 13 23,G,0,0.69,0.1,168.0,0,-6851943797918831033,2561412863397962746
927312,00 00 32.9,-14 13 45,G,0,0.54,0.1,4.0,0,5094961676001408880,-5694825697270332145
1308301,00 00 33.0,+06 49 42,G,0,0.72,0.23,91.0,0,5073598851607399824,-656358807593506668
1324703,00 00 33.0,+07 33 01,G,0,0.83,0.19,30.0,0,-1085826467323720302,-3533284656341935833
198791,00 00 33.1,-30 43 36,G,0,0.65,0.32,9.0,DUKST409-63,-4578022964794765349,-1364136412942681300
1695456,00 00 33.2,+23 52 58,G,0,0.39,0.12,76.0,0,-2604454100479123641,5659645497610120391
143140,00 00 33.2,-46 07 35,G,0,0.58,0.07,96.0,0,-3336156572167463478,-7227202533125279368
710605,00 00 33.3,-30 59 11,G,0,0.5,0.35,44.0,0,-6478952705016078328,-3456689829830981761
1551057,00 00 33.4,+18 07 58,G,0,0.57,0.29,131.0,0,-1562207823654983241,-8281501596771932749
2549339,00 00 33.5,+56 50 20,G,0,0.61,0.29,14.0,0,6939646885592139608,-8875443157008734830
782087,00 00 33.5,-25 09 12,G,0,0.45,0.09,18.0,0,379179597417268775,6448696568722250302
49,00 00 33.6,+22 46 44,G,0,0.6,0.11,28.0,KUG2357+225           KAZ236,-6324978221846231993,-348971835210350247
893588,00 00 33.6,-16 46 59,G,0,0.33,0.07,69.0,0,1642405875888289802,-8145779697129940354
143141,00 00 33.6,-50 43 40,G,0,0.61,0.11,28.0,0,3846819590683596990,3824097205119361451
608074,00 00 33.6,-38 31 21,G,0,0.52,0.4,93.0,0,-6350285579127900792,8251281572358791879
499174,00 00 33.7,-47 34 34,G,0,0.72,0.36,100.0,0,-2154668204881447159,-6815863720337674490
420947,00 00 33.7,-54 17 09,G,0,0.4,0.24,176.0,0,4604215295239801078,775643325395987993
1027012,00 00 33.7,-06 54 51,G,0,0.67,0.17,128.0,0,6111567968769911808,-6187256568821935573
483162,00 00 33.8,-48 50 24,G,0,0.43,0.06,118.0,0,2000015491464266756,976471005555990161
539000,00 00 33.8,-44 16 43,G,0,0.43,0.31,172.0,0,8554102596956350251,-1686918484525764971
865778,00 00 33.8,-18 37 42,G,0,0.49,0.08,54.0,0,432465215342204369,7826439836836396045
1335389,00 00 33.8,+07 57 32,G,0,0.47,0.01,0.0,0,8990360482582995949,-1135441462577251113
143142,00 00 34.0,-30 07 33,G,0,0.73,0.12,86.0,DUKST409-28,-824414054463109322,1246236976198373497
2794830,00 00 34.1,-40 20 06,G,0,0.0,0.0,0.0,0,3796467976062174210,1416492935191335761
583955,00 00 34.1,-40 39 14,G,0,0.4,0.13,153.0,0,5660511530098291032,-4028643708829321625
857091,00 00 34.1,-19 18 18,G,0,0.53,0.28,122.0,0,-5408366707393842839,8889040582819407800
73203,00 00 34.1,+27 36 10,G,Sc,0.66,0.24,38.0,KUG2358+273,-7037443275671517450,5456963192883732534
50,00 00 34.2,-40 34 54,GM,0,0.52,0.3,8.0,(ESO293-28)           ESO-LV2930281,-4696209265191444339,6418487821367760181
380049,00 00 34.2,-58 20 13,G,0,0.37,0.14,86.0,0,9050335824939063490,-2348689788284043702
1286598,00 00 34.3,+05 37 57,G,0,0.54,0.18,147.0,0,-805055830816565006,-7748422979894471145
279323,00 00 34.4,-69 25 04,G,0,0.54,0.02,0.0,0,9055331978091327681,6219332803851423384
898304,00 00 34.4,-16 25 37,G,0,0.3,0.06,118.0,0,-5654054045406455027,-6341318864321448535
2081390,00 00 34.6,+36 28 58,G,0,0.49,0.21,19.0,0,-146065417593084308,-2535318975638711074
782334,00 00 34.6,-25 07 57,G,0,0.51,0.24,100.0,0,5046051094861546844,7238347233264494287
758069,00 00 34.7,-27 13 35,G,0,0.44,0.07,100.0,0,1609480887168444026,4206182392285334487
1660635,00 00 34.7,+21 57 19,G,0,0.4,0.04,0.0,0,8731368663191084400,-7247114304727579260
454842,00 00 34.8,-51 34 42,G,0,0.42,0.28,41.0,0,-5188533393761337579,-1783210987606545954
329657,00 00 34.8,-63 44 20,G,0,0.39,0.2,136.0,0,7794096621627098539,8050970587045183195
1780930,00 00 34.8,+26 34 00,G,0,0.41,0.13,48.0,0,1882857673076078102,4849909925319596515
288122,00 00 34.9,-68 08 26,G,0,0.68,0.14,52.0,0,5911757910476826502,6728855392985316990
1535905,00 00 35.0,+17 34 06,G,0,0.5,0.16,42.0,0,4574876866315939343,2527191381036592611
347349,00 00 35.0,-62 15 01,G,0,0.52,0.16,52.0,0,-3445148090077774318,-3728609174953645265
617108,00 00 35.0,-37 49 22,G,0,0.39,0.14,125.0,0,-5863732019325423662,-6213031552952341762
421054,00 00 35.1,-54 16 37,G,0,0.5,0.18,167.0,0,-8673456590350466921,-2935107139545844445
359640,00 00 35.2,-60 53 33,G,0,0.49,0.32,66.0,0,3062706329903077785,7473943822421599733
687820,00 00 35.3,-32 40 57,G,0,0.36,0.15,154.0,0,-4455000089796621394,-5051899661357495370
583021,00 00 35.4,-40 44 10,G,0,0.44,0.05,148.0,0,6345355678300512771,8215410608277080143
479387,00 00 35.5,-49 12 04,G,0,0.49,0.24,175.0,0,-5871439878872646627,3121016520701440999
474698,00 00 35.5,-49 38 32,G,0,0.47,0.18,16.0,0,3000832870418935429,2948343236407996119
1985047,00 00 35.5,+32 11 37,G,0,0.52,0.16,156.0,0,207718433276581341,-9184195552746521634
503903,00 00 35.5,-47 16 50,G,0,0.45,0.34,23.0,0,8718914703180487561,-7069535721503606613
40,00 00 35.6,-01 45 49,G,0,0.91,0.16,133.0,MCG0-01-017           CGCG382-17,-846655636731179264,-1012764027328498894
2004148,00 00 35.6,+32 35 51,G,0,0.42,0.04,0.0,0,-8856998499752379785,1351500168393251374
715490,00 00 35.6,-30 34 57,G,0,0.42,0.22,112.0,0,2961585079290501161,-4754471758245657741
502600,00 00 35.7,-47 21 37,G,0,0.33,0.06,172.0,0,3383887845173448850,-4258962637426320191
51,00 00 35.7,-40 34 32,GM,0,0.73,0.48,37.0,(ESO293-28)           ESO-LV2930280         DUKST348-83,-5454370870365225694,-6881626089689803421
494625,00 00 35.7,-47 51 35,G,0,0.58,0.3,56.0,0,6930191038934391883,-3246784139189730259
689030,00 00 35.8,-32 36 36,G,0,0.42,0.3,36.0,0,-3573190341254319980,-7874171491756897184
733613,00 00 35.8,-29 04 56,G,0,0.64,0.43,59.0,0,-6001791855964997001,956807173669741372
598401,00 00 35.8,-39 25 09,G,0,0.54,0.35,33.0,0,-7798306766048116616,896375655833204405
620725,00 00 35.8,-37 35 34,G,0,0.57,0.59,104.0,0,-6869220786142637213,242056506111060823
579991,00 00 35.8,-41 00 48,G,0,0.36,0.07,172.0,0,2129327116415966890,-2016207361607986723
893680,00 00 35.9,-16 46 36,G,0,0.66,0.22,135.0,NPM1G-17.0527,1363163137563193734,4209303973648786038
850043,00 00 35.9,-19 49 12,G,0,0.35,0.14,178.0,0,7880125850440342295,-2665509944888842809
513192,00 00 36.0,-46 35 20,G,0,0.6,0.5,34.0,0,1893044424946273242,-5623001565025291044
636509,00 00 36.1,-36 27 36,G,0,0.6,0.27,168.0,0,7649634127125556038,-1292837451392510727
1105474,00 00 36.2,-01 57 29,G,0,0.44,0.05,23.0,0,-4829315778713354711,4956691385312141375
573231,00 00 36.2,-41 40 44,G,0,0.52,0.19,80.0,0,-8914169376855229711,4873541524848274682
903823,00 00 36.2,-15 59 30,G,0,0.44,0.13,161.0,0,-2242564184946485326,-5186682515290785131
2090329,00 00 36.2,+36 58 10,G,0,0.56,0.25,174.0,0,333976432340658115,142163466687679242
778895,00 00 36.4,-25 26 48,G,0,0.46,0.31,144.0,0,7133960622765886174,-1259312725819951688
1050397,00 00 36.4,-05 01 08,G,0,0.43,0.19,133.0,0,-7588862040699870491,5674155602433137394
1963982,00 00 36.4,+31 46 42,G,0,0.57,0.14,84.0,0,4439969263289337498,-2671782949069453400
698944,00 00 36.5,-31 56 55,G,0,0.6,0.22,65.0,0,2183483699662862230,8392127057076406866
750348,00 00 36.5,-27 45 10,G,0,0.42,0.24,145.0,0,-2676683278829059789,3788457099243259666
422217,00 00 36.6,-54 09 43,G,0,0.31,0.01,0.0,0,8059597330061931126,2218375034807678536
1220372,00 00 36.6,+02 14 01,G,0,0.37,0.11,165.0,0,4513085127753606739,2371155134238450841
469625,00 00 36.6,-50 07 37,G,0,0.38,0.11,42.0,0,1441267135364240336,5769704880770108005
1034178,00 00 36.7,-06 19 24,G,0,0.67,0.5,36.0,0,-5747117473366215991,-7885559639543201462
1572685,00 00 36.7,+18 51 36,G,0,0.52,0.08,109.0,0,-7352506675234143643,-1606281288602240689
832318,00 00 36.7,-21 07 36,G,0,0.6,0.52,24.0,0,-8370947559894070549,-991693938344235914
124797,00 00 36.9,-38 49 42,G,0,0.0,0.0,0.0,LCRSB235802.9-390623,138655486491139466,-2837369099404120331
372530,00 00 36.9,-59 17 28,G,0,0.46,0.24,136.0,0,-5035342499738401984,7883028084593874565
2040014,00 00 37.0,+33 51 23,G,0,0.34,0.03,0.0,0,8909773458835367906,1901597992632499989
512832,00 00 37.1,-46 36 57,G,0,0.45,0.23,50.0,0,1255095445683101739,6987786397345379877
424044,00 00 37.2,-53 59 18,G,0,0.44,0.25,176.0,0,-2945317426692435871,3288975568884562305
