WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,frame_hash
00101+3825,DAM  31,AH,1998,2015,269,269,42.1,42.1,10.39,14.6,,N,,00 10 09.88,+38 25 04.7,00 10 09.88,+38 25 04.7,-2280944520844361213
00101+3825,DAM  31,AI,1998,2015,160,160,38.0,37.8,10.39,14.73,,N,,00 10 09.88,+38 25 04.7,00 10 09.88,+38 25 04.7,4376581140599789945
00101+3825,HDS  23,"Da,Db",1991,2015,314,136,0.2,0.2,11.42,12.85,,NO,,00 10 05.26,+38 24 53.6,00 10 05.26,+38 24 53.6,7345472276439047369
00101+3825,SKF 495,DB,1998,2015,295,298,4.1,4.4,10.94,16.0,,N,,00 10 05.26,+38 24 53.6,00 10 05.26,+38 24 53.6,-4226930266105476011
00101+3825,DAM  31,DH,2015,2019,53,52,15.8,16.2,10.94,14.3,,N,,00 10 05.26,+38 24 53.6,00 10 05.26,+38 24 53.6,8947118739068472563
00101-0718,GWP  23,,1954,2015,103,103,113.5,114.0,13.6,16.7,,V R,,00 10 08.52,-07 17 59.5,00 10 08.52,-07 17 59.5,1072228247033670953
00101-4601,KPP2852,,2000,2016,285,285,6.5,6.6,13.34,17.98,,T,,00 10 04.16,-46 00 56.3,00 10 04.16,-46 00 56.3,-7668002445022513814
00101-5921,HJ 3348,,1836,2015,284,268,15.0,20.0,9.98,11.08,-60    6,,,00 10 08.75,-59 21 27.8,00 10 08.75,-59 21 27.8,8099559426760698939
00102+7507,HJ 1938,,1831,2015,341,350,14.0,23.0,11.19,11.36,+74    2,L,,00 10 07.94,+75 07 50.0,00 10 07.94,+75 07 50.0,6750256810657903747
00102+6718,HU 1003,,1904,2015,32,34,2.4,2.4,9.24,10.9,+66    6,,,00 10 10.79,+67 17 29.9,00 10 10.79,+67 17 29.9,-3475770274303191651
00102+5852,MRI  43,,2000,2016,98,98,6.7,6.6,14.1,16.3,,V,,00 10 09.87,+58 51 37.6,00 10 09.87,+58 51 37.6,8274305991095986061
00102+5016,TDS1328,,1991,1991,109,109,1.8,1.8,11.05,12.39,,X,,00 10 11.18,+50 15 56.3,00 10 11.18,+50 15 56.3,6946689373743357957
00102+4717,TDS1329,,1991,1991,72,72,0.7,0.7,11.44,11.85,,X,,00 10 09.55,+47 16 36.6,00 10 09.55,+47 16 36.6,906773975300116717
00102+2400,POU   5,,1891,2016,92,91,10.3,10.6,12.47,12.67,,,,00 10 11.96,+24 00 07.7,00 10 11.96,+24 00 07.7,-5724151009020615520
00102+1418,SLW  11,,1949,2016,351,351,18.7,18.4,17.0,18.2,,V R,,00 10 13.03,+14 18 20.1,00 10 13.03,+14 18 20.1,-6308873313577946289
00102+0417,GRV  12,,1909,2015,174,174,45.4,45.8,11.16,11.38,,V,,00 10 17.82,+04 17 49.1,00 10 17.82,+04 17 49.1,-8886044416449188723
00102-4909,HU 1328,,1914,2016,286,258,1.1,1.0,9.21,9.49,-49   20,,,00 10 09.33,-49 08 36.2,00 10 09.33,-49 08 36.2,6740059260378239396
00102-6719,HJ 3349,,1836,2015,115,101,20.0,14.2,9.83,11.4,-68    2,,,00 10 13.39,-67 19 16.8,00 10 13.39,-67 19 16.8,-3804898820440704908
00103+7810,MLR 370,,1897,2015,30,25,5.0,5.0,9.66,13.5,+77    1,,,00 10 19.67,+78 10 02.9,00 10 19.67,+78 10 02.9,9400585331737648
00103+7231,HJ 1941,AB,1831,2015,194,197,12.0,12.2,11.53,12.1,,N,,00 10 18.01,+72 31 08.8,00 10 18.01,+72 31 08.8,4516295456181150079
00103+5936,TDS1330,,1991,1991,343,343,0.5,0.5,11.48,11.57,,X,,00 10 19.88,+59 36 01.0,00 10 19.88,+59 36 01.0,6751092497914613799
00103+4920,COU1851,,1981,2016,166,171,0.6,0.7,10.42,10.91,+48   22,,,00 10 19.09,+49 19 32.2,00 10 19.09,+49 19 32.2,-3357422476894261208
00103+0526,CBL 562,,2000,2016,108,108,9.3,9.5,15.5,15.8,,V,,00 10 15.72,+05 25 37.6,00 10 15.72,+05 25 37.6,1822366460727012241
00103+0454,STF   6,,1869,2016,193,194,22.6,21.2,9.68,11.5,+04    9,,,00 10 17.15,+04 53 32.8,00 10 17.15,+04 53 32.8,7026458273927001760
00103-1852,SKF2137,,1917,2015,261,261,80.5,80.4,9.9,10.1,-19    6,,,00 10 16.88,-18 51 46.3,00 10 16.88,-18 51 46.3,-6667826631617201408
00103-3227,LDS2097,,1954,2017,71,348,3.0,11.3,15.0,21.0,,,,00 10 20.99,-32 26 42.9,00 10 20.99,-32 26 42.9,4129048865923671411
00104+6139,STI  12,,1904,2015,283,279,4.0,5.2,10.93,11.3,,,,00 10 22.20,+61 39 29.0,00 10 22.20,+61 39 29.0,-7122610121050905970
00104+5831,ARY   7,AB,1910,2016,358,3,123.3,124.0,7.79,8.34,+57   16,N,,00 10 24.09,+58 29 22.1,00 10 24.09,+58 29 22.1,1090016906880724
00104+5831,KPP4344,AC,2000,2016,94,92,3.8,4.3,8.5,12.6,,NT,,00 10 24.09,+58 29 22.1,00 10 24.09,+58 29 22.1,-3235708603194244206
00104+5831,BU  253,"Ba,Bb",1875,2021,50,27,0.4,0.4,8.94,9.03,+57   15,N,,00 10 24.70,+58 31 25.9,00 10 24.70,+58 31 25.9,5711923442238978391
00104+5626,STI1288,,1917,2015,143,144,14.1,13.4,12.9,13.2,,,,00 10 23.91,+56 26 49.3,00 10 23.91,+56 26 49.3,-4708480868685032779
00104+5415,J  2383,,1942,2016,45,45,2.0,4.8,11.4,11.4,,,,00 10 26.74,+54 14 05.4,00 10 26.74,+54 14 05.4,2632903050935864178
00104+5135,ES  746,,1909,2015,109,110,6.9,7.2,10.66,13.0,+50   15,,,00 10 26.62,+51 35 38.2,00 10 26.62,+51 35 38.2,5405303206686512113
00104+4952,ES 2576,,1902,2021,294,294,77.2,77.0,8.62,8.72,+49   18,N,,00 10 25.67,+49 52 21.8,00 10 25.67,+49 52 21.8,-6059400777705766382
00104+4358,TDS1331,,1991,2019,62,62,0.5,0.6,11.52,11.85,,,,00 10 23.42,+43 57 40.4,00 10 23.42,+43 57 40.4,2456480459149139745
00104+2404,KPP1515,,1995,2016,226,224,11.0,11.4,11.5,14.0,,V,,00 10 23.82,+24 04 18.8,00 10 23.82,+24 04 18.8,-6721818998951446577
00104+2150,LDS3134,,1960,2016,177,179,12.0,11.5,12.7,16.6,,V,,00 10 25.53,+21 51 03.7,00 10 25.53,+21 51 03.7,-6412137380977607912
00104+1525,HJ 1002,,1909,2018,27,24,26.9,27.3,9.39,12.95,+14    7,,,00 10 25.16,+15 24 34.7,00 10 25.16,+15 24 34.7,7660139959596604631
00104-0635,BRT 349,,1892,2016,14,199,2.5,2.4,11.44,12.06,-07   12,,,00 10 28.47,-06 34 22.7,00 10 28.47,-06 34 22.7,-1467326506633164821
00105+5540,ES  930,,1910,2020,341,339,3.8,2.7,11.24,11.33,+54    6,,,00 10 35.28,+55 40 45.2,00 10 35.28,+55 40 45.2,-1422874336917330314
00105+5314,TDS1332,,1991,1991,316,316,0.4,0.4,11.49,11.77,,X,,00 10 32.76,+53 13 41.4,00 10 32.76,+53 13 41.4,4296206733398247056
00105+4524,CBL   1,,1954,2016,230,230,22.2,23.0,10.9,14.2,,U V,,00 10 28.93,+45 23 38.9,00 10 28.93,+45 23 38.9,-8899843772271010685
00105+1716,ALP   1,,2001,2015,314,316,17.8,18.1,12.6,16.9,,NT K,,00 10 32.50,+17 15 49.2,00 10 32.50,+17 15 49.2,-5640645209750186312
00105-7339,B  2063,,1930,2016,149,131,0.5,0.5,10.51,10.7,-74   10,,,00 10 27.47,-73 38 57.8,00 10 27.47,-73 38 57.8,-789340090033538359
00106+0047,BAL 943,,1908,2016,275,279,4.3,4.3,9.9,12.4,-00   10,,,00 10 33.99,+00 46 31.9,00 10 33.99,+00 46 31.9,4607848629716184397
00106-4107,CRU9002,,1879,2015,42,42,92.0,92.4,8.77,10.5,-41   26,,,00 10 36.66,-41 07 07.1,00 10 36.66,-41 07 07.1,-6980972744107473223
00106-4917,RST   1,,1929,2016,330,341,1.4,1.9,10.07,13.03,-49   21,,,00 10 37.55,-49 16 53.4,00 10 37.55,-49 16 53.4,-8438672443294420018
00106-7313,I    43,AB,1896,2022,340,194,0.8,0.5,6.97,8.55,-73    4,NO,,00 10 38.56,-73 13 27.7,00 10 38.56,-73 13 27.7,-6376207587426296582
00106-7313,I    43,"AB,C",1911,2015,0,334,20.0,30.4,6.7,14.2,,N,,00 10 38.56,-73 13 27.7,00 10 38.56,-73 13 27.7,-1645991720520323710
00107+7221,HJ 1940,,1897,2016,141,139,6.5,7.2,10.0,12.0,,,,00 10 37.38,+72 21 22.0,00 10 37.38,+72 21 22.0,5488998327945529888
00107+6709,ES  114,AB,1893,2015,168,164,4.1,4.5,9.67,11.8,+66    7,,,00 10 41.52,+67 08 45.8,00 10 41.52,+67 08 45.8,-4665915206267321539
00107+6709,ES  114,AC,1893,2020,19,18,109.9,111.6,9.67,10.56,,,,00 10 41.52,+67 08 45.8,00 10 41.52,+67 08 45.8,-1644734224951197861
00107+6048,STI  13,,1904,2015,236,235,10.4,10.7,8.38,13.0,+59    5,,,00 10 41.56,+60 48 21.8,00 10 41.56,+60 48 21.8,-6876005656013498212
00107+5453,WOR  37,,1903,2021,250,249,18.8,19.4,9.13,12.11,+54    7,N,,00 10 42.07,+54 53 29.4,00 10 42.07,+54 53 29.4,-6446685054668853391
00107+4957,HU  503,AB,1902,2021,33,28,4.2,5.3,9.22,13.0,+49   20,,,00 10 43.77,+49 57 19.6,00 10 43.77,+49 57 19.6,8316501868399694430
00107+4957,HU  503,AC,1902,2021,57,46,40.4,40.4,9.22,11.81,,,,00 10 43.77,+49 57 19.6,00 10 43.77,+49 57 19.6,8432595643964054791
00107+3417,CVR   9,,1954,2015,222,222,43.2,43.2,15.9,18.3,,V,,00 10 43.03,+34 17 25.8,00 10 43.03,+34 17 25.8,1961618030339347093
00107-0303,BRT 350,,1893,2016,322,327,4.1,3.8,10.7,11.6,,,,00 10 48.28,-03 02 45.9,00 10 48.28,-03 02 45.9,-6832939348947998952
00107-2901,KPP4409,,2012,2016,225,226,1.9,2.0,14.2,14.4,,T,,00 10 40.32,-29 00 37.2,00 10 40.32,-29 00 37.2,1144667825180781864
00108+7304,LDS1502,,1965,2015,122,124,7.0,7.4,18.3,18.5,,,,00 10 32.76,+73 04 11.1,00 10 32.76,+73 04 11.1,-6049346170040918404
00108+5846,ARY   8,AB,1910,2019,100,101,39.4,39.2,8.13,8.63,+57   18,N,,00 10 37.25,+58 44 53.6,00 10 37.25,+58 44 53.6,-2735803118793561989
00108+5846,ARY   8,AC,1910,2019,43,43,104.4,104.7,8.13,8.29,+57   22,N,,00 10 37.25,+58 44 53.6,00 10 37.25,+58 44 53.6,-2463497642552032129
00108+5846,BU  485,"Ca,Cb",1889,1994,307,257,0.4,0.1,8.77,9.5,+57   22,N,,00 10 46.36,+58 46 10.2,00 10 46.36,+58 46 10.2,7115548256334639021
00108+5717,STI1289,,1911,2015,107,130,5.0,5.5,13.3,13.3,,,,00 10 50.64,+57 17 53.8,00 10 50.64,+57 17 53.8,6103551418121645467
00108+5113,COU2251,,1984,2016,214,211,0.8,1.1,11.49,12.0,,,,00 10 49.56,+51 12 59.8,00 10 49.56,+51 12 59.8,7428800773067858079
00108+5034,ES  747,,1909,2016,174,180,2.9,2.9,10.3,11.1,+49   21,,,00 10 50.88,+50 34 09.5,00 10 50.88,+50 34 09.5,5286144659093252525
00108+4945,UC    1,,1953,2015,1,1,54.0,54.0,13.77,15.22,,V,,00 10 45.61,+49 44 41.0,00 10 45.61,+49 44 41.0,2153644956796005823
00108+3647,RAO 179,,2015,2016,188,189,1.4,1.4,13.8,13.9,,R,,00 10 46.59,+36 46 42.3,00 10 46.59,+36 46 42.3,7072372464076914423
00108+2337,POU   6,,1898,2016,343,305,5.6,6.6,9.8,12.6,+22   11,,,00 10 32.43,+23 38 59.1,00 10 32.43,+23 38 59.1,5187613644122379670
00108+1356,SLW  12,,1949,2015,124,124,170.9,171.0,17.9,18.5,,V R,,00 10 48.28,+13 55 40.1,00 10 48.28,+13 55 40.1,-4022333524889381410
00108-3452,RST2236,,1933,2016,98,99,1.7,2.0,6.9,13.2,-35   36,,,00 10 46.84,-34 51 38.6,00 10 46.84,-34 51 38.6,2026824995997684408
00108-5729,HJ 3350,,1835,2016,174,184,2.5,3.2,8.8,9.57,-58    7,N,,00 10 47.35,-57 29 11.6,00 10 47.35,-57 29 11.6,706318637108075507
00108-6330,TVB  21,,2015,2016,320,320,2.0,2.0,12.2,12.3,,,,00 10 47.09,-63 29 59.9,00 10 47.09,-63 29 59.9,-2868974753769117575
00109+6715,ES  113,,1893,2015,121,127,7.4,7.0,9.27,11.8,+66    8,,,00 10 53.26,+67 15 24.4,00 10 53.26,+67 15 24.4,-6258858590413842658
00109+6015,STI  14,,1910,2015,90,87,12.0,11.1,14.0,14.0,,,,00 10 54.29,+60 15 02.2,00 10 54.29,+60 15 02.2,6484215928021472871
00109+5750,KR    1,,1890,2020,190,192,1.7,2.1,9.42,10.03,+57   23,,,00 10 55.88,+57 50 16.2,00 10 55.88,+57 50 16.2,-2776408811385742369
00109+5438,STI1290,,1917,2015,323,323,14.5,11.9,11.85,11.95,,,,00 10 55.72,+54 38 12.9,00 10 55.72,+54 38 12.9,-1852220078666480990
00109+4807,LEP   2,AB,1902,2015,46,47,24.1,24.0,8.41,10.72,+47   17,NV,,00 10 56.06,+48 06 37.5,00 10 56.06,+48 06 37.5,746566576334345658
00109+4807,TOK 443,AC,1980,2014,152,152,999.9,999.9,8.41,9.96,,NU,,00 10 56.06,+48 06 37.5,00 10 56.06,+48 06 37.5,-1315889811580329423
00109+3602,HJ 5450,,-1,-1,-1,-1,-1.0,-1.0,9.1,13.0,,X,,00 11 16.57,+36 06 15.0,00 11 16.57,+36 06 15.0,-6567959545801458149
00109+1705,GWP  24,,1954,2016,95,98,13.5,13.7,11.7,18.2,,NU R,,00 10 53.53,+17 05 00.5,00 10 53.53,+17 05 00.5,182498083459394886
00109-0338,CVR 305,,1998,2016,174,174,13.1,13.1,18.0,18.6,,V R,,00 10 54.14,-03 37 40.3,00 10 54.14,-03 37 40.3,-7115598977848156936
00109-2615,LDS2098,,1954,2015,29,29,47.0,45.7,16.0,18.9,,,,00 10 50.21,-26 14 06.9,00 10 50.21,-26 14 06.9,-6974438785606314012
00109-4007,KPP  49,,1998,2015,130,130,3.3,3.3,13.9,14.0,,V,,00 10 51.58,-40 06 58.2,00 10 51.58,-40 06 58.2,4158779700394850428
00109-5144,NSN 224,,1993,2015,322,321,14.2,13.8,16.75,19.24,,T,,00 10 56.73,-51 44 21.6,00 10 56.73,-51 44 21.6,-163802184279255466
00110+5445,HEI 416,,1983,2016,70,34,1.5,0.7,13.5,14.0,,U,,00 10 58.14,+54 44 27.5,00 10 58.14,+54 44 27.5,5237554245348002564
00110+4820,ES 1127,AB,1902,2015,1,1,90.2,89.7,10.83,11.53,+47   18,,,00 11 01.54,+48 20 30.9,00 11 01.54,+48 20 30.9,4069973894795314816
00110+4820,ES 1127,BC,1912,2016,299,304,2.0,1.8,11.53,12.18,,,,00 11 01.75,+48 22 00.5,00 11 01.75,+48 22 00.5,2265257005696474203
00110+2908,COU 346,,1969,2015,302,305,0.4,0.3,10.3,12.2,+28   10,,,00 10 57.21,+29 08 04.2,00 10 57.21,+29 08 04.2,2382669523660159771
00110+2843,J   867,,1912,2016,196,190,1.0,1.3,9.91,11.27,+27    9,,,00 10 56.06,+28 43 34.1,00 10 56.06,+28 43 34.1,4952848394927174134
00110+2513,POU   7,,1891,2015,196,193,6.2,6.3,11.3,12.1,+24   12,,,00 10 59.99,+25 13 43.4,00 10 59.99,+25 13 43.4,5847824997421893030
00110+1247,SKF 839,,1983,2015,248,247,24.8,24.8,9.5,14.3,+11   12,,,00 10 57.82,+12 47 28.9,00 10 57.82,+12 47 28.9,7957764137118019036
00110+1024,TDS1333,,1991,1991,65,65,0.5,0.5,10.86,11.08,+09   11,X,,00 11 01.68,+10 23 49.7,00 11 01.68,+10 23 49.7,-4444538372854629437
00110+1002,GRV  13,,1919,2015,46,47,35.8,35.8,12.29,13.27,,,,00 11 02.61,+10 02 45.6,00 11 02.61,+10 02 45.6,-7104313972192938230
00110+0512,LDS3135,,1960,2015,144,145,390.0,391.8,11.56,15.94,,,,00 11 04.64,+05 12 31.8,00 11 04.64,+05 12 31.8,7576608412794139579
00110+0058,SKF1821,,2002,2015,13,13,1.8,1.8,20.6,20.7,,N,,00 11 02.18,+00 57 54.2,00 11 02.18,+00 57 54.2,6183480360182692648
00110-0627,J  1432,,1940,2016,268,275,4.8,7.2,10.9,12.6,-07   13,,,00 11 01.28,-06 26 24.2,00 11 01.28,-06 26 24.2,3186779102079806845
00110-1207,WZ    1,,1900,2015,291,291,7.0,7.3,12.38,13.9,,,,00 10 58.30,-12 06 17.0,00 10 58.30,-12 06 17.0,5933834170778549872
00110-6309,UC  331,,1998,2015,311,311,35.1,35.1,11.59,13.26,,V,,00 10 59.50,-63 09 04.1,00 10 59.50,-63 09 04.1,-6115967961641081770
00111+7532,A   801,,1904,2020,232,231,1.8,2.0,10.05,10.22,+74    3,,,00 11 04.78,+75 31 37.7,00 11 04.78,+75 31 37.7,8740158356402725048
00111+6007,STI  15,,1910,2015,50,55,5.1,4.7,13.2,13.2,,,,00 11 01.05,+60 07 35.2,00 11 01.05,+60 07 35.2,1698112808033730527
00111+5755,HJ 1003,,1828,2015,35,33,9.0,11.4,9.46,12.5,+57   24,N,,00 11 08.64,+57 55 06.0,00 11 08.64,+57 55 06.0,-7224941797936965000
00111+1402,DAM 828,,1997,2016,123,123,10.0,9.9,12.5,13.2,,,,00 11 03.84,+14 02 09.1,00 11 03.84,+14 02 09.1,-5986208173937522347
00111+0513,TOK 869,,2019,2023,90,225,0.1,0.1,10.9,13.4,,O R,,00 11 04.61,+05 12 32.3,00 11 04.61,+05 12 32.3,-4738634030477109022
00111-0008,GKM9002,"Ba,Bb",2022,2022,306,306,0.4,0.4,11.9,14.4,,WR,,00 11 50.79,-35 32 50.3,00 11 50.79,-35 32 50.3,-1176719936778082257
00111-1831,TDS1334,,1991,1991,138,138,1.1,1.1,10.38,11.9,-19    8,X,,00 11 06.92,-18 31 12.6,00 11 06.92,-18 31 12.6,8174122458860112907
00111-2239,HJ 3351,,1835,2016,135,135,8.0,11.6,11.33,11.28,-23   32,,,00 11 05.98,-22 39 02.0,00 11 05.98,-22 39 02.0,-7110466540709341871
00112+5247,TDS1335,"Aa,Ab",1991,1991,328,328,0.8,0.8,11.38,11.75,,X,,00 11 13.63,+52 47 04.4,00 11 13.63,+52 47 04.4,8337860399871042866
00112+5247,GUR  39,AB,2018,2018,318,318,5.3,5.3,10.8,,,,,00 11 13.63,+52 47 04.4,00 11 13.63,+52 47 04.4,7924551189853229122
00112+5034,TDS   5,,1991,2018,137,133,1.3,1.2,11.15,13.05,,,,00 11 12.83,+50 33 43.6,00 11 12.83,+50 33 43.6,-2194243539145692886
00112+4933,ES 2577,,1902,2021,311,311,66.6,66.1,8.24,8.99,+48   30,N,,00 11 09.34,+49 32 48.0,00 11 09.34,+49 32 48.0,991124720927598618
00112+4419,ES 1406,AB,1893,2020,334,331,9.6,9.8,9.31,11.29,+43   12,,,00 11 11.53,+44 18 57.0,00 11 11.53,+44 18 57.0,5186520005516579333
00112+4419,ABH   1,AD,1893,2020,206,207,77.4,79.2,9.31,12.98,,U,,00 11 11.53,+44 18 57.0,00 11 11.53,+44 18 57.0,4958711990696838716
00112+4419,ES 1406,BC,1915,2020,349,349,4.9,5.4,11.29,16.1,,U,,00 11 11.11,+44 19 05.6,00 11 11.11,+44 19 05.6,-6962610093890421353
00112+3331,COU 648,,1971,2016,141,132,0.5,0.3,11.0,11.3,+32   12,,,00 11 12.96,+33 32 03.1,00 11 12.96,+33 32 03.1,-8577347578816983126
00112+0116,HJ  617,,1901,2015,61,61,13.4,13.1,9.88,13.4,+00    9,,,00 11 12.35,+01 15 53.9,00 11 12.35,+01 15 53.9,2539609971841508829
00112-0531,GWP  25,,1954,2016,108,107,14.0,14.2,14.7,17.3,,V,,00 11 14.56,-05 31 04.8,00 11 14.56,-05 31 04.8,-4457154639603973315
00112-0853,RST4140,,1938,2016,119,143,1.0,0.9,10.89,11.09,-09   20,,,00 11 14.23,-08 52 33.4,00 11 14.23,-08 52 33.4,-4853728934938779375
00113+5958,A   901,,1905,2017,97,100,0.9,0.9,9.09,10.48,+59    8,,,00 11 19.82,+59 57 44.4,00 11 19.82,+59 57 44.4,-6059621993872342572
00113+5715,STI1292,,1911,2015,10,5,10.6,8.1,10.12,13.0,,,,00 11 15.90,+57 14 56.3,00 11 15.90,+57 14 56.3,-4587015581103955394
00113+2953,MLB 631,AB,1931,2015,279,270,6.9,8.3,12.0,12.1,,,,00 11 15.40,+29 53 55.1,00 11 15.40,+29 53 55.1,-6929115590640610691
00113+2953,MLB 631,AC,1931,2016,38,41,40.0,49.5,12.0,18.0,,U,,00 11 15.40,+29 53 55.1,00 11 15.40,+29 53 55.1,7262901614743343855
00113+2953,MLB 631,AD,1982,1982,274,274,2.2,2.2,12.6,13.0,,,,00 11 15.40,+29 53 55.1,00 11 15.40,+29 53 55.1,6606884281022885324
00113+1435,LDS1072,AB,1962,2015,277,272,5.0,4.7,12.84,14.61,,N,,00 11 14.40,+14 35 34.4,00 11 14.40,+14 35 34.4,-5438323781079290594
00113+0905,PLQ   2,,1891,2015,233,234,24.8,24.9,9.34,12.5,+08   12,,,00 11 18.55,+09 05 20.5,00 11 18.55,+09 05 20.5,-4070012162315691044
00113+0625,GWP  27,,1955,2016,84,83,10.1,10.1,18.7,18.9,,N,,00 11 16.80,+06 25 17.0,00 11 16.80,+06 25 17.0,4285139744004867471
00113+0404,BAL2074,,1909,2015,293,303,3.2,2.9,11.3,11.4,,,,00 11 17.66,+04 04 41.5,00 11 17.66,+04 04 41.5,-1886488670561444380
00113-1850,GWP  26,,1951,2015,71,71,82.8,82.9,13.74,15.39,,V,,00 11 16.47,-18 50 01.0,00 11 16.47,-18 50 01.0,-6739450939522120603
00113-2045,LDS   1,,1952,2016,168,170,9.0,8.6,11.8,14.35,,NV,,00 11 17.64,-20 43 30.7,00 11 17.64,-20 43 30.7,-724217673273031726
00113-4022,RST1180,,1931,2016,50,56,1.0,1.3,7.82,11.61,-41   28,,,00 11 17.85,-40 22 21.7,00 11 17.85,-40 22 21.7,394759220740308764
00113-7558,KPP2793,,2015,2016,152,152,2.8,2.8,15.41,16.78,,T,,00 11 17.79,-75 58 01.5,00 11 17.79,-75 58 01.5,-3095989016066037913
00114+6330,STI  16,,1908,2016,280,280,14.9,15.3,10.24,12.36,+62   13,,,00 11 20.98,+63 30 23.9,00 11 20.98,+63 30 23.9,2652045015235032486
00114+5850,SKW   1,"Aa,Ab",1996,2003,242,253,0.1,0.0,15.0,19.0,,NO,,00 11 25.83,+58 49 28.6,00 11 25.83,+58 49 28.6,-1844357800435736255
00114+5850,LGG   1,AB,1991,1992,0,3,6.0,5.5,14.3,16.0,,N  K,,00 11 25.83,+58 49 28.6,00 11 25.83,+58 49 28.6,-7718604097824665775
00114+5205,ES   40,AB,1901,2020,90,72,4.0,4.4,9.49,12.5,+51   18,,,00 11 24.89,+52 04 35.5,00 11 24.89,+52 04 35.5,4716152043841027974
00114+5205,HJ 1004,AC,1902,2019,317,315,23.5,25.4,9.49,10.49,,,,00 11 24.89,+52 04 35.5,00 11 24.89,+52 04 35.5,-3414280183806916704
00114+4710,TDS1336,,1991,2019,18,18,0.5,0.6,10.77,11.01,+46   17,,,00 11 25.64,+47 09 31.2,00 11 25.64,+47 09 31.2,-6979812948727620505
00114+3027,LAF  22,,2005,2005,12,12,2.5,2.5,6.3,21.2,+29   14,K,,00 11 22.44,+30 26 58.5,00 11 22.44,+30 26 58.5,4097691479998504197
00114-4049,BVD  63,AB,1898,2015,126,126,68.6,68.6,10.62,10.75,,W,,00 11 24.78,-40 48 39.3,00 11 24.78,-40 48 39.3,-7238324446766339784
00114-4701,RST   2,,1928,2016,146,67,0.3,0.6,11.0,11.3,-47   31,,,00 11 22.00,-47 01 12.7,00 11 22.00,-47 01 12.7,4096684895476809114
00115+5521,STI1294,,1917,2015,16,19,10.6,10.0,12.17,12.04,,,,00 11 30.15,+55 21 19.5,00 11 30.15,+55 21 19.5,-1096246834138961702
00115+3556,HDS  24,"Aa,Ab",2013,2013,122,122,0.1,0.1,10.3,10.3,,,,00 11 29.42,+35 55 51.9,00 11 29.42,+35 55 51.9,4654147785180132688
00115+3556,HDS  24,AB,1991,2013,4,349,0.4,0.5,9.56,12.98,+35   18,,,00 11 29.42,+35 55 51.9,00 11 29.42,+35 55 51.9,-6341889590509695049
00115+3036,LDS3136,,1960,2016,193,195,19.0,19.3,16.5,17.0,,,,00 11 32.62,+30 36 46.7,00 11 32.62,+30 36 46.7,-5592126609640336826
00115+2949,MLB 441,AB,1895,2021,1,359,14.9,14.3,10.18,10.47,+29   15,,,00 11 27.88,+29 48 54.1,00 11 27.88,+29 48 54.1,-8645915974695287692
00115+2949,MLB 441,AC,1997,2021,348,351,50.7,50.5,10.18,12.29,,UW,,00 11 27.88,+29 48 54.1,00 11 27.88,+29 48 54.1,4836355823920155712
00115+2949,MLB 441,BC,1926,2021,351,348,38.5,36.1,10.47,12.29,,UW,,00 11 27.85,+29 49 08.2,00 11 27.85,+29 49 08.2,-338342599672707609
00115+2949,MLB 441,CD,1926,2021,141,139,5.3,6.4,11.4,12.9,,UW,,00 11 27.04,+29 49 43.5,00 11 27.04,+29 49 43.5,-6702043850485523200
00115+2936,HO    1,,1884,2016,169,158,1.0,1.3,9.83,10.27,+28   13,V,,00 11 27.83,+29 36 08.5,00 11 27.83,+29 36 08.5,1061030136238943268
00115+2521,KPP  50,,1997,2015,177,177,3.9,3.9,13.5,15.4,,V,,00 11 30.92,+25 21 23.3,00 11 30.92,+25 21 23.3,7090604054688950438
00115+1940,COU 248,AB,1968,2016,325,319,1.5,2.0,9.78,12.8,+18    9,TW,,00 11 30.76,+19 39 36.7,00 11 30.76,+19 39 36.7,5834632420940221575
00115+1648,LDS3137,,1960,2015,352,352,158.0,158.1,13.63,17.97,,,,00 11 36.26,+16 48 11.7,00 11 36.26,+16 48 11.7,8664164197722144297
00115-2126,KPP2629,,1981,2015,102,102,24.2,24.3,12.38,15.0,,V,,00 11 28.65,-21 26 19.6,00 11 28.65,-21 26 19.6,8488977653388454580
00115-4938,HJ 3352,,1834,2016,308,302,3.0,6.6,9.24,10.75,-50   29,,,00 11 30.83,-49 37 45.5,00 11 30.83,-49 37 45.5,-3329090361307302591
00115-5545,HDS  25,,1991,2023,80,71,0.2,0.1,8.86,9.66,-56   29,,,00 11 31.43,-55 44 58.8,00 11 31.43,-55 44 58.8,-7646818258462683587
00116+6356,MLB 183,,1921,2016,95,96,2.9,3.0,10.11,12.1,+63    8,,,00 11 35.07,+63 56 03.9,00 11 35.07,+63 56 03.9,-2077639134371142793
00116+5945,BU  254,AB,1875,2016,238,237,7.4,7.3,7.9,11.9,+58   12,,,00 11 33.36,+59 45 43.7,00 11 33.36,+59 45 43.7,6316072849119519363
00116+5945,BU  254,AC,1893,2016,241,240,38.2,36.4,7.9,13.24,,,,00 11 33.36,+59 45 43.7,00 11 33.36,+59 45 43.7,9022622276297278773
00116+5813,ARY   9,,1910,2016,82,83,136.7,138.8,7.11,8.61,+57   28,U,,00 11 37.15,+58 12 42.6,00 11 37.15,+58 12 42.6,-6076151009224182604
